date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2001/1/1,0:33:38,新島・神津島近海,34°20.5′N,139°08.6′E,0 km,1.9,震度１,34.34166667,139.1433333
2001/1/1,0:49:44,鳥取県中部,35°26.1′N,133°53.0′E,7 km,2.6,震度２,35.435,133.8833333
2001/1/1,5:12:35,青森県東方沖,40°54.0′N,142°05.7′E,53 km,3.6,震度１,40.9,142.095
2001/1/1,9:35:47,茨城県南部,36°11.9′N,139°47.5′E,55 km,3.1,震度１,36.19833333,139.7916667
2001/1/1,14:28:29,トカラ列島近海,29°45.6′N,129°58.4′E,21 km,2.8,震度１,29.76,129.9733333
2001/1/1,16:00:15,鳥取県西部,35°15.9′N,133°21.5′E,10 km,3,震度２,35.265,133.3583333
2001/1/2,4:24:37,鳥取県西部,35°14.8′N,133°22.4′E,13 km,2.6,震度１,35.24666667,133.3733333
2001/1/2,9:26:06,埼玉県北部,36°13.8′N,139°22.6′E,24 km,2.8,震度１,36.23,139.3766667
2001/1/2,10:30:42,伊豆半島東方沖,35°00.8′N,139°17.4′E,15 km,3.2,震度１,35.01333333,139.29
2001/1/2,13:46:21,宮城県中部,38°33.2′N,141°20.3′E,76 km,3.1,震度１,38.55333333,141.3383333
2001/1/2,15:32:34,島根県東部,35°22.3′N,133°18.3′E,10 km,3.3,震度２,35.37166667,133.305
2001/1/2,19:53:22,新潟県中越地方,37°15.2′N,138°36.0′E,12 km,4.5,震度５弱,37.25333333,138.6
2001/1/3,0:08:10,新潟県中越地方,37°14.8′N,138°36.3′E,10 km,2.4,震度２,37.24666667,138.605
2001/1/3,12:08:32,新島・神津島近海,34°12.3′N,139°14.8′E,14 km,2.4,震度１,34.205,139.2466667
2001/1/3,15:55:21,福岡県筑後地方,33°04.7′N,130°32.7′E,14 km,2.6,震度１,33.07833333,130.545
2001/1/3,16:40:26,三宅島近海,33°51.6′N,139°25.6′E,22 km,3.4,震度１,33.86,139.4266667
2001/1/3,23:47:53,北海道東方沖,43°38.2′N,147°44.2′E,25 km,5.6,震度２,43.63666667,147.7366667
2001/1/4,2:12:33,鹿児島県薩摩地方,31°54.6′N,130°18.4′E,9 km,2.8,震度１,31.91,130.3066667
2001/1/4,13:18:22,新潟県中越地方,36°57.3′N,138°46.1′E,11 km,5.3,震度５弱,36.955,138.7683333
2001/1/4,15:08:03,新潟県中越地方,36°57.0′N,138°46.0′E,9 km,3.9,震度３,36.95,138.7666667
2001/1/4,22:31:41,福島県会津,37°26.1′N,139°42.1′E,3 km,3.8,震度３,37.435,139.7016667
2001/1/4,23:36:22,鳥取県西部,35°16.4′N,133°21.5′E,6 km,2.6,震度１,35.27333333,133.3583333
2001/1/5,0:30:06,紀伊水道,34°03.7′N,135°05.9′E,9 km,2.9,震度２,34.06166667,135.0983333
2001/1/5,5:15:07,伊予灘,33°46.8′N,132°31.3′E,44 km,4,震度２,33.78,132.5216667
