code,pref,city,lat,lng,shindo
011011,北海道,札幌中央区,43.055460,141.340956,3
011029,北海道,札幌北区,43.090850,141.340831,3
011045,北海道,札幌白石区,43.047687,141.405078,3
011053,北海道,札幌豊平区,43.031291,141.380106,3
011061,北海道,札幌南区,42.990031,141.353497,3
011070,北海道,札幌西区,43.074470,141.300889,3
011088,北海道,札幌厚別区,43.036408,141.474789,3
011096,北海道,札幌手稲区,43.121944,141.245632,3
011100,北海道,札幌清田区,42.999636,141.443830,3
012025,北海道,函館市,41.768793,140.728810,4
012033,北海道,小樽市,43.190717,140.994662,2
012041,北海道,旭川市,43.770636,142.364819,3
012050,北海道,室蘭市,42.315231,140.973799,3
012068,北海道,釧路市,42.984854,144.381356,4
012076,北海道,帯広市,42.923899,143.196103,4
012084,北海道,北見市,43.804031,143.895876,3
012092,北海道,夕張市,43.056734,141.973896,3
012106,北海道,岩見沢市,43.196206,141.775933,4
012114,北海道,網走市,44.020632,144.273398,2
012122,北海道,留萌市,43.940987,141.637012,2
012131,北海道,苫小牧市,42.634302,141.605372,4
012149,北海道,稚内市,45.415664,141.673082,2
012157,北海道,美唄市,43.332881,141.853785,3
012165,北海道,芦別市,43.518166,142.189436,3
012173,北海道,江別市,43.103745,141.536247,3
012181,北海道,赤平市,43.558074,142.044211,3
012190,北海道,紋別市,44.356484,143.354503,2
012203,北海道,士別市,44.178734,142.400404,2
012211,北海道,名寄市,44.355938,142.463167,2
012220,北海道,三笠市,43.245435,141.875327,3
012238,北海道,根室市,43.330076,145.582790,3
012246,北海道,千歳市,42.820958,141.650876,4
012254,北海道,滝川市,43.557795,141.910190,3
012262,北海道,砂川市,43.494843,141.903465,3
012271,北海道,歌志内市,43.521353,142.034568,2
012289,北海道,深川市,43.723260,142.053538,3
012297,北海道,富良野市,43.342140,142.383225,3
012301,北海道,登別市,42.412760,141.106632,3
012319,北海道,恵庭市,42.882562,141.577815,3
012335,北海道,伊達市,42.471851,140.864679,3
012343,北海道,北広島市,42.985630,141.563543,3
012351,北海道,石狩市,43.171384,141.315520,3
012360,北海道,北斗市,41.824060,140.652903,4
013030,北海道,当別町,43.223683,141.517072,3
013048,北海道,新篠津村,43.225424,141.649216,4
013315,北海道,松前町,41.430037,140.110435,2
013323,北海道,福島町,41.483802,140.251326,3
013331,北海道,知内町,41.598356,140.418963,4
013340,北海道,木古内町,41.678264,140.437568,3
013374,北海道,七飯町,41.895720,140.694280,3
013439,北海道,鹿部町,42.038487,140.815939,3
013455,北海道,森町,42.104795,140.576324,3
013463,北海道,八雲町,42.255999,140.265281,3
013471,北海道,長万部町,42.513688,140.380633,3
013617,北海道,江差町,41.869156,140.127460,3
013625,北海道,上ノ国町,41.801082,140.121348,4
013633,北海道,厚沢部町,41.920901,140.225472,3
013641,北海道,乙部町,41.968501,140.135719,3
013676,北海道,奥尻町,42.172278,139.514008,3
013706,北海道,今金町,42.429422,140.008878,2
013714,北海道,せたな町,42.417161,139.882988,3
013919,北海道,島牧村,42.700520,140.061460,2
013927,北海道,寿都町,42.790979,140.228980,1
013935,北海道,黒松内町,42.667864,140.307540,2
013943,北海道,蘭越町,42.809075,140.528312,2
013951,北海道,ニセコ町,42.804705,140.687493,3
013960,北海道,真狩村,42.762971,140.803744,3
013978,北海道,留寿都村,42.737360,140.875591,3
013986,北海道,喜茂別町,42.795472,140.934500,2
013994,北海道,京極町,42.858208,140.884088,2
014001,北海道,倶知安町,42.901829,140.758698,3
