code,pref,city,lat,lng,shindo
032093,岩手県,一関市,38.934682,141.126800,1
041017,宮城県,仙台青葉区,38.269076,140.870403,2
041025,宮城県,仙台宮城野区,38.266139,140.909832,1
041033,宮城県,仙台若林区,38.244224,140.900756,1
041041,宮城県,仙台太白区,38.224348,140.877134,1
041050,宮城県,仙台泉区,38.326375,140.881629,1
042021,宮城県,石巻市,38.434480,141.302917,2
042056,宮城県,気仙沼市,38.908078,141.569992,1
042064,宮城県,白石市,38.002478,140.619860,1
042072,宮城県,名取市,38.171520,140.891913,2
042081,宮城県,角田市,37.977063,140.781990,2
042111,宮城県,岩沼市,38.104292,140.870138,2
042129,宮城県,登米市,38.691923,141.187579,1
042137,宮城県,栗原市,38.730128,141.021333,1
042145,宮城県,東松島市,38.426168,141.210242,1
042153,宮城県,大崎市,38.577071,140.955350,2
043010,宮城県,蔵王町,38.098164,140.658416,2
043214,宮城県,大河原町,38.049493,140.730721,1
043222,宮城県,村田町,38.118539,140.722404,1
043231,宮城県,柴田町,38.056563,140.765790,1
043249,宮城県,川崎町,38.177737,140.643202,2
043419,宮城県,丸森町,37.911429,140.765528,1
043613,宮城県,亘理町,38.037460,140.852581,1
043621,宮城県,山元町,37.961668,140.877818,1
044016,宮城県,松島町,38.380128,141.067244,2
044041,宮城県,七ヶ浜町,38.304613,141.059186,1
044067,宮城県,利府町,38.330190,140.975722,1
044229,宮城県,大郷町,38.424260,141.004445,1
044245,宮城県,大衡村,38.467226,140.880087,1
044440,宮城県,色麻町,38.548920,140.849878,1
044458,宮城県,加美町,38.571767,140.854751,2
045055,宮城県,美里町,38.544391,141.056695,2
062022,山形県,米沢市,37.922240,140.116781,1
062031,山形県,鶴岡市,38.727197,139.826731,1
062073,山形県,上山市,38.149562,140.267827,1
062120,山形県,尾花沢市,38.600622,140.405691,1
062138,山形県,南陽市,38.055141,140.148375,1
063011,山形県,山辺町,38.289114,140.262178,1
063029,山形県,中山町,38.333114,140.283034,1
063223,山形県,西川町,38.426499,140.147347,1
063231,山形県,朝日町,38.299248,140.145926,1
063240,山形県,大江町,38.380648,140.207013,1
063410,山形県,大石田町,38.593863,140.372680,1
063657,山形県,大蔵村,38.704182,140.230374,1
063819,山形県,高畠町,38.002736,140.189160,1
063827,山形県,川西町,38.004479,140.045790,1
064025,山形県,白鷹町,38.183095,140.098438,2
072010,福島県,福島市,37.760834,140.474728,1
072028,福島県,会津若松市,37.494761,139.929810,1
072036,福島県,郡山市,37.400529,140.359742,2
072044,福島県,いわき市,37.050420,140.887682,5強
072052,福島県,白河市,37.126362,140.210943,2
072079,福島県,須賀川市,37.292893,140.356975,2
072087,福島県,喜多方市,37.651355,139.874609,1
072095,福島県,相馬市,37.796624,140.919470,2
072109,福島県,二本松市,37.584858,140.431129,2
072117,福島県,田村市,37.440550,140.576422,3
072125,福島県,南相馬市,37.642161,140.957276,1
072133,福島県,伊達市,37.819138,140.562908,1
072141,福島県,本宮市,37.513131,140.393890,2
073016,福島県,桑折町,37.849537,140.516352,1
073083,福島県,川俣町,37.663922,140.597333,2
073229,福島県,大玉村,37.534392,140.371189,2
073423,福島県,鏡石町,37.252830,140.343408,2
073440,福島県,天栄村,37.255606,140.247074,2
073628,福島県,下郷町,37.255580,139.872128,1
073687,福島県,南会津町,37.200395,139.773199,1
074055,福島県,西会津町,37.588798,139.647495,1
074071,福島県,磐梯町,37.562115,139.988780,1
074080,福島県,猪苗代町,37.557768,140.104761,2
074217,福島県,会津坂下町,37.561481,139.821643,1
074471,福島県,会津美里町,37.459854,139.841178,1
074616,福島県,西郷村,37.141696,140.155364,1
074641,福島県,泉崎村,37.157052,140.295252,2
074659,福島県,中島村,37.148757,140.350204,2
074667,福島県,矢吹町,37.201278,140.338608,2
074811,福島県,棚倉町,37.029905,140.379648,2
074829,福島県,矢祭町,36.871403,140.424783,1
074837,福島県,塙町,36.957437,140.409573,1
074845,福島県,鮫川村,37.042327,140.509669,1
075019,福島県,石川町,37.144330,140.452351,2
075027,福島県,玉川村,37.210706,140.409038,2
075035,福島県,平田村,37.221786,140.575876,3
075043,福島県,浅川町,37.080995,140.412809,2
075051,福島県,古殿町,37.089093,140.555649,3
075213,福島県,三春町,37.441048,140.492569,2
075221,福島県,小野町,37.286823,140.626277,3
075426,福島県,楢葉町,37.282500,140.993611,4
075442,福島県,川内村,37.337691,140.809345,3
075469,福島県,双葉町,37.449167,141.012500,2
075612,福島県,新地町,37.876357,140.919599,1
075647,福島県,飯舘村,37.679190,140.735247,2
082015,茨城県,水戸市,36.366503,140.470996,1
082023,茨城県,日立市,36.599154,140.651469,2
082031,茨城県,土浦市,36.078297,140.204333,1
082058,茨城県,石岡市,36.190048,140.287556,1
082121,茨城県,常陸太田市,36.538275,140.530950,1
082147,茨城県,高萩市,36.719147,140.716688,1
082155,茨城県,北茨城市,36.801911,140.750979,1
082163,茨城県,笠間市,36.345300,140.304354,2
082201,茨城県,つくば市,36.083486,140.076642,1
082210,茨城県,ひたちなか市,36.396615,140.534676,1
082252,茨城県,常陸大宮市,36.542577,140.410890,2
082261,茨城県,那珂市,36.457469,140.486854,1
082279,茨城県,筑西市,36.307053,139.983123,1
082287,茨城県,坂東市,36.048738,139.888320,1
082295,茨城県,稲敷市,35.956492,140.323908,1
082309,茨城県,かすみがうら市,36.094529,140.330691,1
082317,茨城県,桜川市,36.327250,140.090433,1
082341,茨城県,鉾田市,36.158640,140.516461,2
082368,茨城県,小美玉市,36.239345,140.352576,1
083020,茨城県,茨城町,36.286921,140.424514,1
083101,茨城県,城里町,36.479363,140.376166,2
083640,茨城県,大子町,36.768096,140.355266,1
084425,茨城県,美浦村,36.004562,140.301914,1
092011,栃木県,宇都宮市,36.555112,139.882807,1
092037,栃木県,栃木市,36.382380,139.734081,1
092053,栃木県,鹿沼市,36.567111,139.745013,1
092061,栃木県,日光市,36.719903,139.698216,1
092096,栃木県,真岡市,36.440419,140.013442,1
092100,栃木県,大田原市,36.871484,140.017419,2
092134,栃木県,那須塩原市,36.961698,140.046066,1
092142,栃木県,さくら市,36.685301,139.966452,1
092151,栃木県,那須烏山市,36.656893,140.151426,1
093424,栃木県,益子町,36.467353,140.093378,1
093432,栃木県,茂木町,36.532120,140.187565,1
093441,栃木県,市貝町,36.543308,140.102046,1
093459,栃木県,芳賀町,36.548323,140.058196,2
093866,栃木県,高根沢町,36.630973,139.986684,1
094072,栃木県,那須町,37.019731,140.121017,2
094111,栃木県,那珂川町,36.761661,140.130072,1
102032,群馬県,桐生市,36.405491,139.330688,1
105252,群馬県,邑楽町,36.252394,139.462286,1
112143,埼玉県,春日部市,35.975198,139.752301,1
114421,埼玉県,宮代町,36.022682,139.722885,1
151050,新潟県,新潟秋葉区,37.788506,139.114631,1
152021,新潟県,長岡市,37.446265,138.851277,1
152111,新潟県,見附市,37.531604,138.912825,1
152234,新潟県,阿賀野市,37.834501,139.225983,1
153427,新潟県,弥彦村,37.691066,138.855249,1
